Channel,Volume
43750-43800,24791
43800-43850,25369
43850-43900,27324
43900-43950,29613
43950-44000,27197
44000-44050,25295
44050-44100,25193
44100-44150,26057
44150-44200,24752
44200-44250,21485
44250-44300,20448
44300-44350,16219
44350-44400,18748
44400-44450,12930
44450-44500,12116
44500-44550,11760
44550-44600,9871
44600-44650,10359
44650-44700,12519
44700-44750,9938
44750-44800,9179
44800-44850,11556
44850-44900,10049
44900-44950,9436
44950-45000,6886
45000-45050,7226
45050-45100,6566
45100-45150,6661
45150-45200,6695
45200-45250,6559
45250-45300,6633
45300-45350,6209
45350-45400,4797
45400-45450,4936
45450-45500,4994
45500-45550,3385
45550-45600,5156
45600-45650,7008
45650-45700,8712
45700-45750,8901
45750-45800,9808
45800-45850,12741
45850-45900,13367
45900-45950,15158
45950-46000,15576
46000-46050,13987
46050-46100,11714
46100-46150,14374
46150-46200,15975
46200-46250,14333
46250-46300,15459
46300-46350,19449
46350-46400,17894
46400-46450,18910
46450-46500,18190
46500-46550,20207
46550-46600,21333
46600-46650,19822
46650-46700,22497
46700-46750,18310
46750-46800,19132
46800-46850,19956
46850-46900,22134
46900-46950,23360
46950-47000,26056
47000-47050,23548
47050-47100,23123
47100-47150,24190
47150-47200,25954
47200-47250,23769
47250-47300,20101
47300-47350,21201
47350-47400,17944
47400-47450,17245
47450-47500,16125
47500-47550,17512
47550-47600,13688
47600-47650,14846
47650-47700,14861
47700-47750,12363
47750-47800,11075
47800-47850,12727
47850-47900,13923
47900-47950,12335
47950-48000,11093
48000-48050,7510
48050-48100,7704
48100-48150,7102
48150-48200,6532
48200-48250,7823
48250-48300,7816
48300-48350,8987
48350-48400,7831
48400-48450,10028
48450-48500,9553
48500-48550,8805
48550-48600,8892
48600-48650,9230
48650-48700,10381
48700-48750,11466
48750-48800,11483
48800-48850,8996
48850-48900,9719
48900-48950,9934
48950-49000,11030
49000-49050,9775
49050-49100,9699
49100-49150,8697
49150-49200,7067
49200-49250,6450
49250-49300,5259
49300-49350,3729
49350-49400,2537
49400-49450,2295
49450-49500,2151
49500-49550,2316
49550-49600,1600
49600-49650,2497
49650-49700,2726
49700-49750,3615
49750-49800,3054
49800-49850,3136
49850-49900,3507
49900-49950,2585
49950-50000,2463
50000-50050,1954
50050-50100,2345
50100-50150,2449
50150-50200,2182
50200-50250,2332
50250-50300,2216
50300-50350,2598
50350-50400,2928
50400-50450,2321
50450-50500,2493
50500-50550,2461
50550-50600,3245
50600-50650,4129
50650-50700,4088
50700-50750,5735
50750-50800,5952
50800-50850,5424
50850-50900,7045
50900-50950,7018
50950-51000,6201
51000-51050,5027
51050-51100,4390
51100-51150,4189
51150-51200,3358
51200-51250,3475
51250-51300,2510
51300-51350,2282
51350-51400,1996
51400-51450,1512
51450-51500,1649
51500-51550,1292
51550-51600,992
51600-51650,929
51650-51700,730
51700-51750,652
51750-51800,569
51800-51850,357
51850-51900,537
51900-51950,466
51950-52000,203
52000-52050,0
52050-52100,88
